word, event, baseline, diff
would,0.0000,0.0000,0.0000
keith,0.0000,0.0000,0.0000
2017,0.0000,0.0000,0.0000
khalid,0.0000,0.0000,0.0000
n't,0.0000,0.0000,0.0000
others,0.0000,0.0000,0.0000
bbc,0.0000,0.0000,0.0000
rowley,0.0000,0.0000,0.0000
buzzfeed,0.0000,0.0000,0.0000
getty,0.0000,0.0000,0.0000
since,0.0000,0.0000,0.0000
whether,0.0000,0.0000,0.0000
reuters,0.0000,0.0000,0.0000
among,0.0000,0.0000,0.0000
everyone,0.0000,0.0000,0.0000
towards,0.0000,0.0000,0.0000
mi5,0.0000,0.0000,0.0000
ap,0.0000,0.0000,0.0000
kurt,0.0000,0.0000,0.0000
frade,0.0000,0.0000,0.0000
ellwood,0.0000,0.0000,0.0000
2015,0.0000,0.0000,0.0000
facebook,0.0000,0.0000,0.0000
without,0.0000,0.0000,0.0000
aysha,0.0000,0.0000,0.0000
counter-terrorism,0.0000,0.0000,0.0000
ajao,0.0000,0.0000,0.0000
st,0.0000,0.0000,0.0000
something,0.0000,0.0000,0.0000
although,0.0000,0.0000,0.0000
jeremy,0.0000,0.0000,0.0000
sadiq,0.0000,0.0000,0.0000
